month,entries,departures
Jan.2007,2125377,2041469
Feb.2007,2033731,2110956
Mar.2007,2419128,2278263
Apr.2007,2012465,2120725
May.2007,2090652,1985834
Jun.2007,2086963,2085914
Jul.2007,2277934,2272354
Aug.2007,2493965,2592676
Sep.2007,2369713,2268977
Oct.2007,2305996,2305764
Nov.2007,2191038,2219426
Dec.2007,2084475,2191599
Jan.2008,2181307,2095330
Feb.2008,2072462,2165652
Mar.2008,2365783,2206266
Apr.2008,2020387,2070410
May.2008,2067657,2041843
Jun.2008,2045024,2011062
Jul.2008,2190721,2218988
Aug.2008,2316721,2392281
Sep.2008,2117346,2006737
Oct.2008,2109907,2153751
Nov.2008,1913540,1918925
Dec.2008,1795140,1929889
Jan.2009,1935248,1788239
Feb.2009,1733348,1896605
Mar.2009,2152254,2016716
Apr.2009,1850676,1939006
May.2009,1665930,1588109
Jun.2009,1445548,1430512
Jul.2009,1936969,1985133
Aug.2009,2253733,2344707
Sep.2009,2223987,2168560
Oct.2009,2070562,2055913
Nov.2009,1935345,1937839
Dec.2009,1958563,2026765
Jan.2010,2006484,1958295
Feb.2010,1951974,2076010
Mar.2010,2447567,2272574
Apr.2010,2017616,2137571
May.2010,2123347,2029784
Jun.2010,2061494,2049226
Jul.2010,2330782,2358468
Aug.2010,2527679,2621418
Sep.2010,2360180,2290053
Oct.2010,2242575,2224584
Nov.2010,2106402,2121102
Dec.2010,2024744,2086274
Jan.2011,2167606,2060322
Feb.2011,2012476,2174564
Mar.2011,1897706,2127548
Apr.2011,1440158,1429138
May.2011,1717207,1522750
Jun.2011,1766849,1749728
Jul.2011,2063741,2110810
Aug.2011,2420241,2473581
Sep.2011,2290273,2194717
Oct.2011,2240532,2201980
Nov.2011,2111013,2109242
Dec.2011,2074110,2174446
Jan.2012,2180985,2066341
Feb.2012,2087987,2226092
Mar.2012,2584521,2441763
Apr.2012,2206159,2317853
May.2012,2251582,2150448
Jun.2012,2232304,2214815
Jul.2012,2455429,2495425
Aug.2012,2775381,2885250
Sep.2012,2454791,2282974
Oct.2012,2205453,2223300
Nov.2012,2147756,2161761
Dec.2012,2134803,2257788
Jan.2013,2200700,2098976
Feb.2013,2150276,2261622
Mar.2013,2733971,2510310
Apr.2013,2193754,2303459
May.2013,2257025,2165715
Jun.2013,2284481,2260385
Jul.2013,2491690,2539408
Aug.2013,2818573,2935385
Sep.2013,2579078,2427207
Oct.2013,2449598,2473353
Nov.2013,2352750,2319581
Dec.2013,2295475,2466026
Jan.2014,2495817,2222289
Feb.2014,2199915,2425693
Mar.2014,2828015,2631597
Apr.2014,2474659,2528850
May.2014,2479352,2410511
Jun.2014,2419990,2397914
Jul.2014,2671832,2706879
Aug.2014,2964836,3092074
Sep.2014,2732859,2567051
Oct.2014,2709712,2713758
Nov.2014,2622743,2604234
Dec.2014,2609911,2722892
Jan.2015,2660686,2521444
Feb.2015,2650485,2756081
Mar.2015,3247111,2996312
Apr.2015,2883353,3000334
May.2015,2977371,2887216
Jun.2015,2775440,2731359
Jul.2015,3102732,3091660
Aug.2015,3412253,3567197
Sep.2015,3139412,2980344
Oct.2015,3155223,3184191
Nov.2015,3016246,2990997
Dec.2015,3080243,3135273
Jan.2016,3235635,3127619
Feb.2016,3149395,3319736
Mar.2016,3669674,3330357
Apr.2016,3171334,3419229
May.2016,3155074,2999269
Jun.2016,3161680,3065412
Jul.2016,3536102,3581055
Aug.2016,3732275,3910732
Sep.2016,3445637,3270144
Oct.2016,3501163,3472968
Nov.2016,3298632,3316051
Dec.2016,3418109,3487765
Jan.2017,3749508,3476023
Feb.2017,3339787,3645650
Mar.2017,4019939,3734522
Apr.2017,3695396,3774396
May.2017,3610628,3516652
Jun.2017,3550846,3481607
Jul.2017,3919117,3949919
Aug.2017,4156093,4354287
Sep.2017,3858996,3629570
Oct.2017,3872309,3909570
Nov.2017,3853200,3820915
Dec.2017,3854051,3948874
Jan.2018,3965683,3832981
Feb.2018,3764866,3927634
Mar.2018,4502492,4191573
Apr.2018,4073010,4247918
May.2018,4060075,3932665
Jun.2018,4014343,3946025
Jul.2018,4171980,4198202
Aug.2018,4440857,4642763
Sep.2018,3789224,3608285
Oct.2018,4163929,4129286
Nov.2018,4096054,4073898
Dec.2018,4160401,4261889
Jan.2019,4323736,4118090
Feb.2019,3983110,4188485
Mar.2019,4820216,4532528
Apr.2019,4172777,4629850
May.2019,4597343,4106388
Jun.2019,4316646,4279373
Jul.2019,4434065,4503423
Aug.2019,4506899,4711968
Sep.2019,4073285,3795871
Oct.2019,4039610,4065997
Nov.2019,4072548,4024124
Dec.2019,4069060,4273721
Jan.2020,4326835,4059501
Feb.2020,2457008,2758253
Mar.2020,746525,595009
Apr.2020,44607,34337
May.2020,19938,23539
Jun.2020,29939,31137
Jul.2020,39679,50237
Aug.2020,42479,69943
Sep.2020,44036,65213
Oct.2020,64508,66907
Nov.2020,99663,70498
Dec.2020,130233,85954
Jan.2021,84540,86762
Feb.2021,36998,53560
Mar.2021,60998,69557
Apr.2021,50052,84731
May.2021,53098,62702
Jun.2021,64359,73503
Jul.2021,116190,95298
Aug.2021,86436,141228
Sep.2021,70064,101000
Oct.2021,80273,95632
Nov.2021,86355,101146
Dec.2021,114962,119814
Jan.2022,76667,116661
Feb.2022,67274,86104
Mar.2022,178308,130797
Apr.2022,266715,227574
May.2022,317946,226263
Jun.2022,354822,300344
Jul.2022,459740,476945
Aug.2022,559100,596040
Sep.2022,572147,519214
Oct.2022,887652,774751
Nov.2022,1357703,1278028
Dec.2022,1880374,1814912
